state,response,coverage,education,effective_to_date,employment_status,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size,Month,Day
Oregon,No,Basic,Bachelor,2011-02-13,Employed,F,Rural,Married,Corporate Auto,L1,3,Web,Four-Door Car,Medsize,February,Sunday
Arizona,No,Basic,High School or Below,2011-01-15,Employed,F,Urban,Married,Personal Auto,L1,1,Branch,Four-Door Car,Medsize,January,Saturday
California,No,Premium,Bachelor,2011-01-08,Employed,M,Suburban,Married,Personal Auto,L3,1,Agent,Four-Door Car,Small,January,Saturday
Oregon,No,Extended,Master or above,2011-02-06,Employed,F,Suburban,Married,Personal Auto,L3,2,Web,Four-Door Car,Small,February,Sunday
Oregon,No,Extended,Bachelor,2011-01-25,Unemployed,M,Suburban,Single,Personal Auto,L2,3,Agent,Two-Door Car,Small,January,Tuesday
Arizona,No,Basic,High School or Below,2011-02-07,Employed,M,Rural,Divorced,Personal Auto,L3,1,Call Center,Four-Door Car,Medsize,February,Monday
Nevada,No,Basic,High School or Below,2011-01-18,Unemployed,F,Suburban,Married,Corporate Auto,L3,3,Call Center,Two-Door Car,Medsize,January,Tuesday
Oregon,Yes,Basic,College,2011-01-11,Employed,F,Rural,Single,Corporate Auto,L3,2,Agent,Two-Door Car,Medsize,January,Tuesday
California,Yes,Extended,Bachelor,2011-01-28,Employed,F,Suburban,Married,Personal Auto,L2,2,Agent,Four-Door Car,Small,January,Friday
Arizona,No,Basic,High School or Below,2011-02-08,Employed,M,Suburban,Married,Personal Auto,L2,4,Agent,Sports Car,Medsize,February,Tuesday
Washington,No,Basic,College,2011-02-23,Employed,M,Suburban,Married,Special Auto,L2,2,Call Center,Four-Door Car,Large,February,Wednesday
Oregon,No,Premium,Master or above,2011-01-25,Disabled,F,Rural,Married,Personal Auto,L2,1,Branch,SUV,Medsize,January,Tuesday
Arizona,No,Basic,Bachelor,2011-01-31,Unemployed,M,Suburban,Single,Personal Auto,L3,3,Call Center,Four-Door Car,Medsize,January,Monday
Oregon,No,Basic,High School or Below,2011-01-02,Employed,F,Suburban,Single,Personal Auto,L2,4,Agent,Two-Door Car,Medsize,January,Sunday
California,No,Extended,Bachelor,2011-02-07,Unemployed,F,Suburban,Married,Corporate Auto,L2,2,Call Center,Four-Door Car,Medsize,February,Monday
Arizona,No,Basic,High School or Below,2011-01-18,Unemployed,F,Suburban,Married,Personal Auto,L2,4,Branch,Four-Door Car,Medsize,January,Tuesday
Oregon,No,Basic,College,2011-01-17,Employed,M,Suburban,Married,Personal Auto,L2,1,Agent,SUV,Small,January,Monday
Nevada,No,Basic,High School or Below,2011-02-21,Employed,F,Rural,Married,Special Auto,L1,4,Branch,Four-Door Car,Medsize,February,Monday
Washington,No,Basic,Bachelor,2011-02-16,Employed,M,Suburban,Single,Personal Auto,L3,4,Agent,Four-Door Car,Medsize,February,Wednesday
California,No,Premium,Bachelor,2011-01-17,Disabled,M,Suburban,Married,Personal Auto,L2,1,Branch,Four-Door Car,Small,January,Monday
Arizona,No,Extended,College,2011-02-05,Employed,F,Suburban,Divorced,Corporate Auto,L3,3,Call Center,Four-Door Car,Small,February,Saturday
California,No,Basic,College,2011-02-13,Employed,M,Urban,Married,Special Auto,L2,2,Branch,Four-Door Car,Medsize,February,Sunday
Arizona,No,Basic,High School or Below,2011-02-23,Unemployed,F,Suburban,Married,Personal Auto,L2,1,Call Center,SUV,Small,February,Wednesday
Arizona,Yes,Basic,Bachelor,2011-01-02,Retired,M,Suburban,Divorced,Personal Auto,L1,1,Agent,Four-Door Car,Medsize,January,Sunday
California,No,Premium,Bachelor,2011-01-22,Medical Leave,F,Suburban,Married,Personal Auto,L3,1,Call Center,Two-Door Car,Small,January,Saturday
Oregon,No,Extended,Bachelor,2011-01-15,Unemployed,M,Suburban,Single,Personal Auto,L3,1,Agent,Two-Door Car,Small,January,Saturday
California,No,Basic,High School or Below,2011-01-27,Employed,F,Rural,Married,Personal Auto,L3,1,Agent,SUV,Medsize,January,Thursday
Arizona,No,Basic,Bachelor,2011-01-23,Unemployed,F,Suburban,Single,Personal Auto,L3,3,Branch,Four-Door Car,Large,January,Sunday
Washington,No,Basic,College,2011-01-31,Employed,M,Suburban,Married,Personal Auto,L3,3,Web,Four-Door Car,Medsize,January,Monday
Oregon,No,Basic,College,2011-01-26,Employed,F,Suburban,Divorced,Corporate Auto,L3,1,Agent,SUV,Medsize,January,Wednesday
Arizona,No,Extended,High School or Below,2011-01-10,Employed,F,Urban,Married,Personal Auto,L3,4,Branch,Two-Door Car,Small,January,Monday
Oregon,Yes,Extended,Bachelor,2011-01-27,Unemployed,F,Suburban,Divorced,Personal Auto,L3,1,Call Center,Two-Door Car,Large,January,Thursday
California,No,Premium,College,2011-01-09,Disabled,F,Suburban,Married,Personal Auto,L3,3,Web,Four-Door Car,Medsize,January,Sunday
Oregon,No,Basic,High School or Below,2011-02-24,Employed,M,Rural,Divorced,Personal Auto,L3,4,Agent,SUV,Medsize,February,Thursday
Oregon,No,Basic,Master or above,2011-02-11,Employed,M,Rural,Married,Personal Auto,L2,2,Web,Two-Door Car,Large,February,Friday
Oregon,No,Basic,Master or above,2011-02-12,Medical Leave,M,Suburban,Married,Personal Auto,L1,1,Agent,Four-Door Car,Medsize,February,Saturday
Oregon,No,Basic,Bachelor,2011-02-04,Unemployed,M,Suburban,Single,Personal Auto,L3,1,Agent,Sports Car,Medsize,February,Friday
Oregon,Yes,Basic,Bachelor,2011-01-18,Employed,M,Suburban,Divorced,Personal Auto,L3,2,Branch,Two-Door Car,Medsize,January,Tuesday
Oregon,No,Basic,Bachelor,2011-02-11,Employed,M,Suburban,Married,Personal Auto,L3,2,Branch,Four-Door Car,Small,February,Friday
Oregon,No,Basic,High School or Below,2011-02-01,Employed,F,Rural,Single,Personal Auto,L1,2,Call Center,Four-Door Car,Medsize,February,Tuesday
Nevada,No,Basic,College,2011-02-15,Employed,M,Suburban,Married,Personal Auto,L1,2,Agent,Four-Door Car,Medsize,February,Tuesday
Washington,No,Extended,College,2011-02-06,Employed,M,Rural,Married,Personal Auto,L3,1,Agent,Four-Door Car,Medsize,February,Sunday
California,No,Basic,Bachelor,2011-02-27,Employed,M,Rural,Single,Personal Auto,L3,2,Branch,Luxury Car/SUV,Small,February,Sunday
California,No,Extended,College,2011-01-26,Unemployed,F,Rural,Single,Personal Auto,L3,3,Branch,Two-Door Car,Large,January,Wednesday
California,Yes,Basic,High School or Below,2011-02-26,Employed,M,Suburban,Single,Personal Auto,L3,2,Call Center,Four-Door Car,Medsize,February,Saturday
California,No,Basic,Master or above,2011-01-27,Employed,M,Suburban,Married,Personal Auto,L1,3,Branch,SUV,Medsize,January,Thursday
Oregon,No,Extended,College,2011-01-27,Disabled,F,Suburban,Single,Personal Auto,L3,2,Agent,Four-Door Car,Small,January,Thursday
Washington,No,Basic,High School or Below,2011-02-28,Employed,M,Suburban,Married,Personal Auto,L2,1,Call Center,Four-Door Car,Medsize,February,Monday
California,Yes,Extended,College,2011-01-25,Retired,M,Suburban,Married,Personal Auto,L1,1,Agent,Four-Door Car,Medsize,January,Tuesday
California,No,Basic,Bachelor,2011-01-01,Employed,F,Urban,Married,Corporate Auto,L2,3,Web,Four-Door Car,Medsize,January,Saturday
Oregon,No,Basic,Bachelor,2011-02-01,Employed,F,Suburban,Divorced,Personal Auto,L2,3,Branch,Four-Door Car,Medsize,February,Tuesday
California,Yes,Extended,College,2011-02-19,Employed,M,Suburban,Married,Personal Auto,L3,1,Branch,Four-Door Car,Medsize,February,Saturday
Oregon,No,Premium,College,2011-01-27,Medical Leave,M,Suburban,Married,Personal Auto,L3,2,Branch,Two-Door Car,Small,January,Thursday
Washington,Yes,Extended,Bachelor,2011-02-27,Employed,F,Suburban,Married,Corporate Auto,L3,2,Call Center,Two-Door Car,Medsize,February,Sunday
Oregon,No,Basic,Bachelor,2011-01-17,Employed,F,Rural,Married,Corporate Auto,L3,1,Agent,Four-Door Car,Medsize,January,Monday
Oregon,No,Basic,Bachelor,2011-02-10,Employed,M,Suburban,Married,Corporate Auto,L1,1,Branch,Two-Door Car,Small,February,Thursday
California,No,Extended,High School or Below,2011-01-24,Unemployed,F,Suburban,Single,Personal Auto,L2,1,Agent,Four-Door Car,Medsize,January,Monday
Oregon,No,Basic,Bachelor,2011-02-24,Employed,F,Suburban,Married,Personal Auto,L3,1,Branch,Four-Door Car,Large,February,Thursday
Arizona,No,Basic,Master or above,2011-02-15,Medical Leave,F,Rural,Married,Personal Auto,L3,1,Branch,SUV,Medsize,February,Tuesday
California,No,Basic,Bachelor,2011-02-16,Medical Leave,M,Suburban,Married,Personal Auto,L2,1,Agent,Four-Door Car,Medsize,February,Wednesday
Arizona,No,Basic,Bachelor,2011-01-22,Employed,F,Urban,Married,Personal Auto,L1,3,Web,Four-Door Car,Medsize,January,Saturday
Oregon,No,Extended,College,2011-02-25,Employed,M,Suburban,Married,Personal Auto,L2,1,Agent,Two-Door Car,Small,February,Friday
California,Yes,Basic,College,2011-01-11,Unemployed,F,Suburban,Married,Personal Auto,L3,1,Agent,SUV,Medsize,January,Tuesday
California,Yes,Basic,College,2011-01-31,Unemployed,M,Suburban,Single,Personal Auto,L1,1,Branch,Four-Door Car,Medsize,January,Monday
Oregon,No,Basic,Bachelor,2011-01-12,Employed,M,Rural,Single,Corporate Auto,L3,3,Call Center,Two-Door Car,Medsize,January,Wednesday
California,Yes,Premium,College,2011-02-16,Employed,M,Suburban,Married,Personal Auto,L3,2,Branch,Four-Door Car,Medsize,February,Wednesday
California,No,Extended,High School or Below,2011-02-09,Unemployed,F,Suburban,Single,Personal Auto,L3,1,Web,SUV,Medsize,February,Wednesday
Oregon,No,Extended,Bachelor,2011-01-19,Employed,F,Rural,Married,Personal Auto,L3,1,Call Center,Four-Door Car,Small,January,Wednesday
California,No,Basic,Bachelor,2011-01-04,Employed,F,Rural,Married,Personal Auto,L1,3,Branch,Four-Door Car,Medsize,January,Tuesday
Oregon,No,Basic,High School or Below,2011-01-09,Unemployed,M,Suburban,Married,Personal Auto,L1,1,Agent,SUV,Medsize,January,Sunday
California,No,Basic,Bachelor,2011-01-27,Employed,F,Rural,Married,Personal Auto,L3,1,Agent,Two-Door Car,Medsize,January,Thursday
Oregon,No,Basic,College,2011-02-14,Employed,M,Urban,Married,Corporate Auto,L1,4,Agent,Four-Door Car,Medsize,February,Monday
California,No,Extended,College,2011-02-27,Employed,M,Suburban,Married,Personal Auto,L3,4,Agent,Four-Door Car,Small,February,Sunday
Washington,No,Extended,High School or Below,2011-02-12,Employed,M,Suburban,Divorced,Corporate Auto,L2,2,Web,Four-Door Car,Small,February,Saturday
Arizona,No,Basic,College,2011-02-26,Employed,M,Suburban,Married,Personal Auto,L3,2,Branch,SUV,Medsize,February,Saturday
Oregon,No,Basic,Bachelor,2011-02-20,Employed,M,Suburban,Single,Personal Auto,L3,1,Agent,Four-Door Car,Medsize,February,Sunday
Washington,No,Basic,High School or Below,2011-02-02,Employed,M,Suburban,Married,Personal Auto,L2,4,Branch,Four-Door Car,Medsize,February,Wednesday
California,No,Basic,High School or Below,2011-02-15,Unemployed,M,Suburban,Married,Corporate Auto,L2,1,Agent,SUV,Medsize,February,Tuesday
California,No,Basic,Bachelor,2011-01-15,Employed,F,Suburban,Single,Personal Auto,L2,3,Agent,Two-Door Car,Medsize,January,Saturday
California,No,Extended,College,2011-02-05,Employed,F,Urban,Married,Corporate Auto,L2,2,Call Center,Four-Door Car,Medsize,February,Saturday
Washington,No,Extended,College,2011-02-24,Unemployed,M,Suburban,Married,Personal Auto,L2,3,Web,Two-Door Car,Medsize,February,Thursday
California,No,Basic,Bachelor,2011-01-05,Employed,M,Rural,Married,Personal Auto,L3,1,Call Center,Sports Car,Medsize,January,Wednesday
Oregon,No,Basic,High School or Below,2011-01-28,Employed,F,Suburban,Married,Personal Auto,L3,3,Branch,Two-Door Car,Small,January,Friday
California,No,Basic,High School or Below,2011-01-12,Employed,M,Suburban,Single,Personal Auto,L3,3,Web,Luxury Car/SUV,Medsize,January,Wednesday
Nevada,No,Basic,Bachelor,2011-02-16,Employed,F,Rural,Married,Personal Auto,L3,1,Agent,Four-Door Car,Medsize,February,Wednesday
Oregon,No,Premium,College,2011-01-03,Employed,M,Suburban,Divorced,Personal Auto,L2,1,Call Center,Four-Door Car,Medsize,January,Monday
Oregon,No,Extended,Master or above,2011-02-07,Employed,F,Rural,Single,Personal Auto,L3,2,Branch,Four-Door Car,Medsize,February,Monday
Arizona,No,Extended,College,2011-01-13,Employed,M,Urban,Married,Special Auto,L2,1,Branch,Four-Door Car,Medsize,January,Thursday
Oregon,Yes,Basic,College,2011-01-03,Retired,M,Suburban,Divorced,Personal Auto,L2,2,Web,Four-Door Car,Medsize,January,Monday
Washington,No,Basic,Master or above,2011-02-17,Unemployed,F,Rural,Married,Personal Auto,L1,2,Agent,Four-Door Car,Medsize,February,Thursday
Arizona,No,Basic,High School or Below,2011-01-21,Employed,M,Suburban,Married,Personal Auto,L3,1,Agent,Sports Car,Medsize,January,Friday
Nevada,No,Basic,Bachelor,2011-01-26,Employed,F,Rural,Married,Special Auto,L2,1,Branch,Four-Door Car,Medsize,January,Wednesday
Oregon,No,Basic,Bachelor,2011-01-31,Employed,F,Urban,Married,Personal Auto,L3,1,Call Center,Four-Door Car,Medsize,January,Monday
Arizona,No,Basic,High School or Below,2011-02-07,Unemployed,F,Suburban,Single,Corporate Auto,L2,1,Web,Four-Door Car,Small,February,Monday
Arizona,No,Basic,High School or Below,2011-01-26,Unemployed,M,Suburban,Single,Personal Auto,L3,1,Agent,SUV,Medsize,January,Wednesday
Oregon,No,Basic,High School or Below,2011-01-11,Employed,F,Rural,Married,Special Auto,L2,1,Branch,Sports Car,Medsize,January,Tuesday
Washington,No,Basic,College,2011-01-15,Unemployed,F,Suburban,Single,Personal Auto,L2,2,Agent,Four-Door Car,Small,January,Saturday
Oregon,No,Extended,College,2011-02-08,Employed,F,Urban,Married,Personal Auto,L3,4,Branch,Four-Door Car,Medsize,February,Tuesday
Arizona,No,Extended,Bachelor,2011-01-11,Employed,F,Urban,Single,Special Auto,L3,3,Branch,Four-Door Car,Small,January,Tuesday
Oregon,No,Basic,College,2011-01-09,Unemployed,M,Suburban,Single,Personal Auto,L1,4,Web,Two-Door Car,Large,January,Sunday
Arizona,No,Premium,Master or above,2011-02-04,Employed,M,Urban,Married,Personal Auto,L2,1,Call Center,SUV,Medsize,February,Friday
California,No,Extended,High School or Below,2011-01-21,Unemployed,F,Suburban,Single,Personal Auto,L2,3,Branch,Sports Car,Medsize,January,Friday
Washington,No,Premium,High School or Below,2011-02-16,Employed,M,Suburban,Married,Corporate Auto,L3,3,Agent,SUV,Medsize,February,Wednesday
Oregon,Yes,Extended,High School or Below,2011-02-24,Unemployed,F,Suburban,Married,Personal Auto,L1,1,Agent,Four-Door Car,Large,February,Thursday
California,No,Basic,College,2011-01-30,Unemployed,F,Suburban,Married,Corporate Auto,L3,1,Call Center,Four-Door Car,Medsize,January,Sunday
Arizona,No,Basic,Bachelor,2011-01-09,Employed,F,Suburban,Divorced,Corporate Auto,L2,1,Call Center,Two-Door Car,Medsize,January,Sunday
Arizona,No,Extended,High School or Below,2011-02-01,Employed,F,Rural,Married,Personal Auto,L3,2,Web,Four-Door Car,Medsize,February,Tuesday
Oregon,Yes,Premium,College,2011-02-28,Unemployed,M,Suburban,Married,Corporate Auto,L2,1,Branch,Four-Door Car,Large,February,Monday
Washington,No,Basic,Bachelor,2011-01-31,Employed,M,Suburban,Single,Personal Auto,L2,4,Branch,Four-Door Car,Small,January,Monday
Washington,Yes,Basic,High School or Below,2011-02-17,Employed,M,Rural,Married,Personal Auto,L3,2,Agent,Sports Car,Medsize,February,Thursday
Arizona,No,Extended,High School or Below,2011-02-12,Disabled,M,Suburban,Married,Personal Auto,L3,4,Agent,SUV,Medsize,February,Saturday
Arizona,No,Extended,Bachelor,2011-02-24,Medical Leave,F,Rural,Married,Personal Auto,L1,1,Branch,SUV,Medsize,February,Thursday
California,No,Basic,Bachelor,2011-02-01,Employed,F,Urban,Single,Personal Auto,L3,2,Branch,Four-Door Car,Medsize,February,Tuesday
California,No,Basic,High School or Below,2011-02-06,Employed,M,Suburban,Married,Personal Auto,L2,2,Web,Four-Door Car,Small,February,Sunday
Oregon,No,Extended,College,2011-01-23,Employed,M,Rural,Single,Personal Auto,L2,3,Agent,Four-Door Car,Medsize,January,Sunday
Oregon,No,Extended,Bachelor,2011-01-21,Employed,F,Suburban,Married,Personal Auto,L2,2,Agent,Four-Door Car,Small,January,Friday
Arizona,Yes,Basic,College,2011-01-20,Retired,M,Suburban,Married,Personal Auto,L3,2,Agent,Sports Car,Medsize,January,Thursday
Arizona,No,Basic,Bachelor,2011-01-06,Employed,F,Rural,Married,Personal Auto,L2,1,Web,Two-Door Car,Large,January,Thursday
California,No,Basic,High School or Below,2011-02-22,Unemployed,M,Suburban,Married,Corporate Auto,L3,2,Agent,Two-Door Car,Medsize,February,Tuesday
Washington,No,Basic,College,2011-02-27,Employed,F,Urban,Married,Personal Auto,L1,1,Agent,SUV,Medsize,February,Sunday
California,Yes,Basic,College,2011-02-21,Unemployed,F,Suburban,Divorced,Personal Auto,L3,1,Agent,SUV,Medsize,February,Monday
Washington,Yes,Basic,Bachelor,2011-01-29,Retired,F,Suburban,Single,Personal Auto,L1,1,Branch,Four-Door Car,Medsize,January,Saturday
California,No,Extended,Bachelor,2011-02-22,Unemployed,M,Suburban,Single,Personal Auto,L3,1,Agent,Four-Door Car,Medsize,February,Tuesday
Oregon,No,Basic,Master or above,2011-02-21,Medical Leave,M,Suburban,Married,Personal Auto,L3,1,Agent,Four-Door Car,Small,February,Monday
California,Yes,Basic,High School or Below,2011-01-18,Unemployed,F,Suburban,Single,Personal Auto,L1,1,Agent,Four-Door Car,Small,January,Tuesday
Oregon,No,Extended,High School or Below,2011-01-16,Employed,F,Urban,Divorced,Personal Auto,L2,3,Agent,Four-Door Car,Medsize,January,Sunday
California,No,Basic,High School or Below,2011-01-06,Unemployed,F,Suburban,Married,Personal Auto,L2,1,Agent,Four-Door Car,Medsize,January,Thursday
California,No,Basic,College,2011-01-27,Medical Leave,M,Suburban,Married,Personal Auto,L1,4,Branch,Four-Door Car,Medsize,January,Thursday
Nevada,No,Basic,College,2011-01-09,Employed,F,Rural,Divorced,Personal Auto,L3,3,Agent,Four-Door Car,Medsize,January,Sunday
Nevada,No,Basic,College,2011-01-28,Unemployed,F,Suburban,Married,Personal Auto,L2,3,Agent,Four-Door Car,Small,January,Friday
California,Yes,Basic,High School or Below,2011-02-26,Employed,M,Suburban,Single,Personal Auto,L2,2,Call Center,Four-Door Car,Medsize,February,Saturday
California,No,Basic,Bachelor,2011-01-04,Employed,F,Rural,Married,Personal Auto,L2,2,Call Center,Sports Car,Medsize,January,Tuesday
Washington,No,Basic,College,2011-02-01,Employed,F,Rural,Married,Personal Auto,L2,2,Agent,SUV,Medsize,February,Tuesday
Arizona,No,Basic,Bachelor,2011-01-27,Employed,F,Urban,Married,Personal Auto,L3,2,Call Center,Two-Door Car,Medsize,January,Thursday
California,No,Basic,Bachelor,2011-01-23,Employed,F,Suburban,Divorced,Personal Auto,L2,2,Call Center,Sports Car,Small,January,Sunday
California,No,Premium,Bachelor,2011-02-18,Unemployed,F,Suburban,Married,Personal Auto,L2,1,Agent,Four-Door Car,Medsize,February,Friday
Nevada,No,Extended,Bachelor,2011-01-24,Employed,F,Suburban,Married,Personal Auto,L3,3,Branch,Luxury Car/SUV,Medsize,January,Monday
Oregon,No,Basic,High School or Below,2011-02-18,Employed,M,Suburban,Married,Personal Auto,L2,2,Branch,Four-Door Car,Large,February,Friday
Nevada,No,Extended,Bachelor,2011-01-19,Employed,M,Suburban,Single,Personal Auto,L2,4,Agent,Four-Door Car,Small,January,Wednesday
California,No,Basic,Bachelor,2011-01-04,Unemployed,M,Suburban,Single,Personal Auto,L3,1,Agent,SUV,Medsize,January,Tuesday
California,No,Basic,College,2011-01-30,Employed,F,Suburban,Single,Corporate Auto,L3,2,Branch,SUV,Medsize,January,Sunday
Arizona,Yes,Extended,Bachelor,2011-02-17,Employed,F,Suburban,Married,Personal Auto,L1,2,Agent,SUV,Medsize,February,Thursday
California,No,Extended,Bachelor,2011-01-13,Employed,F,Urban,Single,Personal Auto,L1,3,Branch,Four-Door Car,Medsize,January,Thursday
Oregon,No,Extended,College,2011-02-08,Employed,M,Urban,Married,Personal Auto,L3,3,Branch,Four-Door Car,Medsize,February,Tuesday
California,No,Basic,Master or above,2011-01-29,Employed,M,Urban,Married,Special Auto,L2,4,Web,SUV,Medsize,January,Saturday
California,No,Basic,High School or Below,2011-02-05,Unemployed,F,Suburban,Single,Special Auto,L3,4,Branch,Two-Door Car,Small,February,Saturday
California,No,Basic,Bachelor,2011-01-20,Employed,M,Suburban,Married,Personal Auto,L3,2,Branch,Two-Door Car,Medsize,January,Thursday
Oregon,No,Basic,Bachelor,2011-01-27,Employed,F,Suburban,Married,Personal Auto,L2,4,Agent,Two-Door Car,Small,January,Thursday
Arizona,No,Basic,High School or Below,2011-01-09,Unemployed,F,Suburban,Divorced,Personal Auto,L2,1,Branch,Four-Door Car,Small,January,Sunday
Washington,No,Extended,Bachelor,2011-01-11,Employed,F,Suburban,Married,Personal Auto,L3,1,Agent,Four-Door Car,Small,January,Tuesday
Oregon,No,Premium,High School or Below,2011-02-17,Employed,M,Suburban,Single,Corporate Auto,L3,4,Web,Luxury Car/SUV,Medsize,February,Thursday
Oregon,No,Basic,Bachelor,2011-02-16,Employed,M,Rural,Single,Special Auto,L3,1,Branch,Four-Door Car,Medsize,February,Wednesday
Washington,No,Extended,High School or Below,2011-02-10,Unemployed,F,Suburban,Single,Personal Auto,L1,3,Branch,Two-Door Car,Medsize,February,Thursday
California,Yes,Extended,College,2011-02-19,Employed,M,Suburban,Married,Personal Auto,L1,1,Branch,Four-Door Car,Medsize,February,Saturday
California,No,Premium,Master or above,2011-01-21,Disabled,F,Suburban,Single,Personal Auto,L1,1,Call Center,SUV,Medsize,January,Friday
Nevada,Yes,Extended,Bachelor,2011-02-27,Retired,F,Suburban,Single,Personal Auto,L3,1,Agent,SUV,Medsize,February,Sunday
Arizona,No,Basic,High School or Below,2011-02-04,Employed,F,Suburban,Married,Corporate Auto,L1,2,Call Center,Four-Door Car,Medsize,February,Friday
California,No,Basic,College,2011-01-18,Unemployed,M,Suburban,Single,Personal Auto,L2,1,Agent,SUV,Medsize,January,Tuesday
California,No,Basic,High School or Below,2011-02-03,Unemployed,M,Suburban,Single,Personal Auto,L2,1,Call Center,Four-Door Car,Medsize,February,Thursday
California,No,Basic,College,2011-01-02,Unemployed,M,Suburban,Single,Personal Auto,L2,1,Agent,SUV,Medsize,January,Sunday
California,No,Basic,College,2011-01-09,Employed,F,Urban,Married,Personal Auto,L1,2,Branch,Four-Door Car,Medsize,January,Sunday
California,No,Premium,College,2011-01-19,Employed,M,Suburban,Married,Corporate Auto,L2,1,Branch,SUV,Small,January,Wednesday
